pair	K562_ATAC_only.ABC.Score	pred_gm12878_multimodal.ABC.Score	pred_k562_multimodal.ABC.Score	chrom	chromStart	chromEnd	measuredGeneSymbol	Regulated	EffectSize	startTSS	pred_elements	y	dist	absdist	pct_pred_k562_multimodal.ABC.Score	pct_pred_gm12878_multimodal.ABC.Score	pct_K562_ATAC_only.ABC.Score	dpct	ekey
ABT1|chr6:27125069-27126302:.|ABT1	0.001176	0.001282	0.001351	chr6	27157290	27158523	ABT1	False	-0.0139228156647324	26596692	chr6:27157074-27158398	0	561214.5	561214.5	0.6370141171920325	0.6466834268033262	0.6294237091471669	0.009669309611293753	chr6:27157074-27158398|ABT1
ABT1|chr6:27129560-27130356:.|ABT1	0.000183	0.00014099999999999998	0.000182	chr6	27161781	27162577	ABT1	False	-0.0152730839621925	26596692	chr6:27162064-27162564	0	565487.0	565487.0	0.2859214852059563	0.27006381744343455	0.2393154128795204	-0.015857667762521732	chr6:27162064-27162564|ABT1
ABT1|chr6:27142386-27143214:.|ABT1	0.00032900000000000003	0.000384	0.000331	chr6	27174607	27175435	ABT1	False	-0.0079953402582058	26596692	chr6:27174668-27175415	0	578329.0	578329.0	0.3728485786114871	0.41655385805453493	0.3408431637981048	0.043705279443047806	chr6:27174668-27175415|ABT1
ABT1|chr6:27145407-27146320:.|ABT1	0.000901	0.001137	0.000828	chr6	27177628	27178541	ABT1	False	-0.0154800109997179	26596692	chr6:27176376-27178502	0	581392.5	581392.5	0.5408044865596596	0.6251692129181976	0.5679269000193387	0.08436472635853798	chr6:27176376-27178502|ABT1
ABT1|chr6:27156062-27157040:.|ABT1	0.001415	0.0014349999999999999	0.002581	chr6	27188283	27189261	ABT1	False	0.000485550505999299	26596692	chr6:27187189-27189289	0	592080.0	592080.0	0.7507735447689035	0.6651518081608974	0.6678592148520596	-0.0856217366080061	chr6:27187189-27189289|ABT1
ABT1|chr6:27173486-27174342:.|ABT1	0.000412	0.000362	0.000361	chr6	27205707	27206563	ABT1	False	-0.0439319962886052	26596692	chr6:27204775-27206696	0	609443.0	609443.0	0.38599883968284665	0.4072713208276929	0.3858054534906208	0.021272481144846256	chr6:27204775-27206696|ABT1
ABT1|chr6:27470305-27471758:.|ABT1	0.00042699999999999997	0.000535	0.000612	chr6	27502526	27503979	ABT1	False	-0.0472314141160919	26596692	chr6:27502240-27503302,chr6:27503533-27504033	0	906560.5	906560.5	0.4846257977180429	0.47727712241345965	0.3941210597563334	-0.007348675304583274	chr6:27502240-27503302,chr6:27503533-27504033|ABT1
ABT1|chr6:27559933-27560877:.|ABT1	0.000768	0.000925	0.0009140000000000001	chr6	27592154	27593098	ABT1	False	0.00116318663210224	26596692	chr6:27591621-27592411,chr6:27592527-27594012	0	995934.0	995934.0	0.5602397988783601	0.5840263005221428	0.5313769096886483	0.02378650164378271	chr6:27591621-27592411,chr6:27592527-27594012|ABT1
ABT1|chr6:27569429-27570617:.|ABT1	0.000642	0.0006389999999999999	0.000655	chr6	27601650	27602838	ABT1	False	0.0192944539272872	26596692	chr6:27601534-27602850	0	1005552.0	1005552.0	0.49661574163604716	0.5155675884741829	0.48709147166892286	0.018951846838135777	chr6:27601534-27602850|ABT1
ABT1|chr6:27573180-27573774:.|ABT1	0.000265	0.000538	0.0005480000000000001	chr6	27605401	27605995	ABT1	False	0.00502854654191042	26596692	chr6:27604917-27605417,chr6:27605455-27606272	0	1009006.0	1009006.0	0.4632082769290273	0.47901759814349254	0.299506865209824	0.015809321214465266	chr6:27604917-27605417,chr6:27605455-27606272|ABT1
ACBD3|chr1:225632498-225632998:.|ACBD3	0.0010949999999999998	0.002937	0.002293	chr1	225444796	225445296	ACBD3	False	0.00196160995812078	226186472	chr1:225444835-225445335	0	-741426.0	741426.0	0.7304196480371301	0.7828273061303423	0.6137110810288146	0.05240765809321224	chr1:225444835-225445335|ACBD3
ACIN1|chr14:23169289-23169789:.|ACIN1	0.00028	0.000165	0.000169	chr14	22700080	22700580	ACIN1	False	-0.0112083935475407	23095364	chr14:22698994-22700577	0	-395034.0	395034.0	0.27779926513246955	0.2885805453490621	0.30874105588860956	0.010781280216592526	chr14:22698994-22700577|ACIN1
ACP5|chr19:11270620-11271246:.|ACP5	0.000317	0.000449	0.0	chr19	11159944	11160570	ACP5	False	0.0346347751112091	11578758	chr19:11160069-11160569	0	-418501.0	418501.0	0.07488880293947012	0.4441113904467221	0.33223747824405336	0.369222587507252	chr19:11160069-11160569|ACP5
ACTB|chr7:4652485-4653382:.|ACTB	9.300000000000001e-05	8.9e-05	9.300000000000001e-05	chr7	4612854	4613751	ACTB	False	-0.0627925160179946	5530351	chr7:4612841-4613717	0	-917048.5	917048.5	0.21509379230322956	0.22215238831947398	0.16766582865983368	0.007058596016244423	chr7:4612841-4613717|ACTB
ACTB|chr7:4660050-4660550:.|ACTB	0.00015	0.000152	0.00018899999999999999	chr7	4620419	4620919	ACTB	False	-0.064940814182389	5530351	chr7:4620362-4621226	0	-909682.0	909682.0	0.29032102107909497	0.27871784954554246	0.21243473216012376	-0.011603171533552503	chr7:4620362-4621226|ACTB
ACTB|chr7:4813254-4813754:.|ACTB	0.0	0.0	0.0	chr7	4773623	4774123	ACTB	False	-0.0490493830084087	5530351		0	-756478.0	756478.0	0.07488880293947012	0.07653258557339006	0.06488106749178109	0.0016437826339199407	nan|ACTB
ACTB|chr7:5279735-5280479:.|ACTB	0.001176	0.00075	0.000906	chr7	5240104	5240848	ACTB	False	-0.0508250633377486	5530351	chr7:5240113-5241619	0	-289875.0	289875.0	0.5580158576677625	0.5445271707600078	0.6294237091471669	-0.013488686907754732	chr7:5240113-5241619|ACTB
ACTB|chr7:5564743-5566664:.|ACTB	0.259797	0.332773	0.22786399999999998	chr7	5525112	5527033	ACTB	False	-0.0356168811640665	5530351	chr7:5524803-5527239	0	-4278.5	4278.5	0.99835621736608	0.9993231483272095	0.9992264552310965	0.0009669309611294308	chr7:5524803-5527239|ACTB
ACTB|chr7:5613793-5614944:.|ACTB	0.01017	0.014047	0.019679	chr7	5574162	5575313	ACTB	False	-0.0345795013399475	5530351	chr7:5574227-5574727,chr7:5574756-5575920	0	44386.5	44386.5	0.9462386385612067	0.9330883774898472	0.9214368594082383	-0.013150261071359526	chr7:5574227-5574727,chr7:5574756-5575920|ACTB
ACTB|chr7:6407193-6407966:.|ACTB	0.00011599999999999999	0.000168	0.000178	chr7	6367562	6368335	ACTB	False	-0.038372673259783	5530351	chr7:6366929-6368639	0	837597.5	837597.5	0.28287565267839876	0.29186811061690193	0.18366853606652486	0.008992457938503173	chr7:6366929-6368639|ACTB
ACTG1|chr17:79316849-79317349:.|ACTG1	0.0	0.0	0.0	chr17	81343049	81343549	ACTG1	False	-0.0131368649591015	81512616		0	-169317.0	169317.0	0.07488880293947012	0.07653258557339006	0.06488106749178109	0.0016437826339199407	nan|ACTG1
ACTG1|chr17:79323329-79324054:.|ACTG1	0.002353	0.00303	0.005665	chr17	81349529	81350254	ACTG1	False	-0.0201964584509381	81512616	chr17:81349760-81350541	0	-162724.5	162724.5	0.8573776832334171	0.7876619609359892	0.7628601817830207	-0.06971572229742795	chr17:81349760-81350541|ACTG1
ACTG1|chr17:80301370-80301870:.|ACTG1	0.0	0.0	0.0	chr17	82343494	82343994	ACTG1	False	-0.0019932725657249	81512616		0	831128.0	831128.0	0.07488880293947012	0.07653258557339006	0.06488106749178109	0.0016437826339199407	nan|ACTG1
ACTN4|chr19:39748884-39750198:.|ACTN4	0.000536	0.00054	0.0008029999999999999	chr19	39258244	39259558	ACTN4	False	0.0032664072866555	38647365	chr19:39258169-39259513	0	611536.0	611536.0	0.534857861148714	0.479887836008509	0.44652871784954556	-0.05497002514020505	chr19:39258169-39259513|ACTN4
ACTR2|chr2:64487837-64488337:.|ACTR2	0.000129	7.7e-05	0.000153	chr2	64260703	64261203	ACTR2	False	0.00329020806744728	65227444	chr2:64260369-64261251	0	-966491.0	966491.0	0.2653258557339006	0.210500870237865	0.19546509379230323	-0.054824985496035594	chr2:64260369-64261251|ACTR2
ACTR2|chr2:65521816-65522316:.|ACTR2	0.007732999999999999	0.004676	0.0068189999999999995	chr2	65294682	65295182	ACTR2	False	0.0260857631040745	65227444	chr2:65293080-65295641	0	67488.0	67488.0	0.8738155095726166	0.8428737188164765	0.903983755559853	-0.03094179075614001	chr2:65293080-65295641|ACTR2
ACTR3|chr2:114129918-114130418:.|ACTR3	0.000268	5.1e-05	0.000148	chr2	113372341	113372841	ACTR3	False	-0.00644723692107551	113889683	chr2:113372065-113372830	0	-517092.0	517092.0	0.2614581318893831	0.18584413072906594	0.30177915296847807	-0.07561400116031716	chr2:113372065-113372830|ACTR3
ACYP1|chr14:75393795-75394443:.|ACYP1	0.0	0.0	0.0	chr14	74927092	74927740	ACYP1	False	-0.0318225025374036	75063799		0	-136383.0	136383.0	0.07488880293947012	0.07653258557339006	0.06488106749178109	0.0016437826339199407	nan|ACYP1
ADAMTS14|chr10:72426897-72427569:.|ADAMTS14	0.097588	0.10548199999999999	0.167657	chr10	70667141	70667813	ADAMTS14	True	-0.0431398128391516	70672255	chr10:70666893-70667637	1	-4778.0	4778.0	0.9951653451943531	0.9905240765809321	0.9931347901759814	-0.004641268613420957	chr10:70666893-70667637|ADAMTS14
ADAR|chr1:154357058-154357906:.|ADAR	0.0033880000000000004	0.004298	0.004649	chr1	154384582	154385430	ADAR	False	0.00856936054686352	154607998	chr1:154384658-154386226	0	-222992.0	222992.0	0.8338812608779733	0.8330110230129568	0.8184587120479597	-0.0008702378650164988	chr1:154384658-154386226|ADAR
ADH5|chr4:99782211-99782711:.|ADH5	0.00223	0.0011	0.002735	chr4	98861060	98861560	ADH5	False	-0.0236064959995882	99088538	chr4:98860394-98861912	0	-227228.0	227228.0	0.7583156062657126	0.6186907754786308	0.7533842583639528	-0.13962483078708177	chr4:98860394-98861912|ADH5
ADIPOR1|chr1:202045048-202045727:.|ADIPOR1	0.000367	0.000621	0.000533	chr1	202075920	202076599	ADIPOR1	False	0.00644896057125321	202958146	chr1:202075388-202076694	0	-881886.5	881886.5	0.4578418100947592	0.5097660027074067	0.36158383291432994	0.05192419261264747	chr1:202075388-202076694|ADIPOR1
ADIPOR1|chr1:202045925-202046425:.|ADIPOR1	0.00044	0.0006450000000000001	0.000663	chr1	202076797	202077297	ADIPOR1	False	-0.0127322177328483	202958146	chr1:202076772-202077769	0	-881099.0	881099.0	0.49995165345194353	0.5169696383678205	0.39948752659060144	0.01701798491587697	chr1:202076772-202077769|ADIPOR1
ADIPOR1|chr1:202087007-202087507:.|ADIPOR1	0.000743	0.000808	0.000669	chr1	202117879	202118379	ADIPOR1	False	0.04654653529829099	202958146	chr1:202117910-202119385	0	-840017.0	840017.0	0.5013537033455812	0.5579675111197061	0.5230129568748791	0.05661380777412495	chr1:202117910-202119385|ADIPOR1
ADIPOR1|chr1:202088009-202088509:.|ADIPOR1	0.000743	0.000808	0.000669	chr1	202118881	202119381	ADIPOR1	False	-0.0273706563044906	202958146	chr1:202117910-202119385	0	-839015.0	839015.0	0.5013537033455812	0.5579675111197061	0.5230129568748791	0.05661380777412495	chr1:202117910-202119385|ADIPOR1
ADIPOR1|chr1:202133580-202134080:.|ADIPOR1	0.000795	0.001602	0.001126	chr1	202164452	202164952	ADIPOR1	False	0.0202924326242955	202958146	chr1:202164284-202164986	0	-793444.0	793444.0	0.6021562560433185	0.6830883774898472	0.5389189711854574	0.08093212144652873	chr1:202164284-202164986|ADIPOR1
ADIPOR1|chr1:202134526-202136112:.|ADIPOR1	0.0009220000000000001	0.002199	0.001468	chr1	202165398	202166984	ADIPOR1	False	0.0185645313605047	202958146	chr1:202165127-202166450,chr1:202166490-202166990	0	-791955.0	791955.0	0.6514213885128601	0.7371881647650358	0.5727132082769291	0.08576677625217566	chr1:202165127-202166450,chr1:202166490-202166990|ADIPOR1
ADIPOR1|chr1:202974737-202975237:.|ADIPOR1	0.016355	0.027576	0.026269	chr1	203005609	203006109	ADIPOR1	False	-0.016676237614466998	202958146	chr1:203005614-203006918	0	47713.0	47713.0	0.956681492941404	0.959775672017018	0.9484625797718043	0.0030941790756139342	chr1:203005614-203006918|ADIPOR1
ADIPOR1|chr1:203280867-203281367:.|ADIPOR1	0.001102	0.002002	0.001458	chr1	203311739	203312239	ADIPOR1	False	-0.0276490717632215	202958146	chr1:203311755-203312779	0	353843.0	353843.0	0.650164378263392	0.7243279829820151	0.6155965964030168	0.07416360471862304	chr1:203311755-203312779|ADIPOR1
ADRM1|chr20:60663457-60663957:.|ADRM1	0.000433	0.000297	0.000992	chr20	62088401	62088901	ADRM1	False	-0.041341534778903004	62302645	chr20:62088389-62089157	0	-213994.0	213994.0	0.5786598336878747	0.37391220266872943	0.396345000966931	-0.20474763101914523	chr20:62088389-62089157|ADRM1
ADRM1|chr20:61506816-61507316:.|ADRM1	0.000661	0.001396	0.0008449999999999999	chr20	62875464	62875964	ADRM1	False	-0.0578130851553378	62302645	chr20:62875429-62875929,chr20:62875949-62876449	0	573069.0	573069.0	0.5451073293366854	0.660897311931928	0.4946818797137884	0.11578998259524265	chr20:62875429-62875929,chr20:62875949-62876449|ADRM1
ADSL|chr22:39848412-39849172:.|ADSL	0.0005	0.00043799999999999997	0.000532	chr22	39452407	39453167	ADSL	False	-0.00897857633487908	40346249	chr22:39451915-39453089	0	-893462.0	893462.0	0.4573099980661381	0.4391800425449623	0.429559079481725	-0.0181299555211758	chr22:39451915-39453089|ADSL
ADSL|chr22:41047327-41048409:.|ADSL	0.0067079999999999996	0.005653	0.01108	chr22	40651323	40652405	ADSL	False	0.0139378633445373	40346249	chr22:40651580-40652378	0	305615.0	305615.0	0.9131695996905821	0.863759427576871	0.8936375942757687	-0.049410172113711126	chr22:40651580-40652378|ADSL
ADSL|chr22:41050470-41051091:.|ADSL	0.000973	0.001048	0.001046	chr22	40654466	40655087	ADSL	False	-0.0192741880914553	40346249	chr22:40654365-40655103	0	308527.5	308527.5	0.5871204795977567	0.6070876039450783	0.586733707213305	0.01996712434732162	chr22:40654365-40655103|ADSL
AES|chr19:2355845-2356345:.|AES	0.000252	0.000233	0.000226	chr19	2355847	2356347	AES	False	-0.0307707583509087	3062123	chr19:2355282-2356708	0	-706026.0	706026.0	0.31463933475149874	0.3375072519822085	0.28940243666602206	0.022867917230709744	chr19:2355282-2356708|AES
AFDN|chr6:168053231-168053731:.|AFDN	0.000197	5.9999999999999995e-05	7.2e-05	chr6	167652551	167653051	AFDN	False	-0.0237828307561982	167826740	chr6:167652697-167653197	0	-173939.0	173939.0	0.1969154902339973	0.19343453877393155	0.25	-0.0034809514600657454	chr6:167652697-167653197|AFDN
AFG3L2|chr18:11946723-11947667:.|AFG3L2	0.003363	0.003993	0.004838	chr18	11946724	11947668	AFG3L2	False	0.0171386703323386	12377026	chr18:11946730-11948260	0	-429830.0	429830.0	0.839731193192806	0.8231483272094372	0.8174434345387739	-0.016582865983368777	chr18:11946730-11948260|AFG3L2
AFG3L2|chr18:11951416-11952090:.|AFG3L2	0.000811	0.001307	0.000848	chr18	11951417	11952091	AFG3L2	False	-0.00574111969559609	12377026	chr18:11951391-11951891,chr18:11951904-11952612	0	-425272.0	425272.0	0.5454457551730807	0.6497292593308838	0.5450589827886289	0.10428350415780308	chr18:11951391-11951891,chr18:11951904-11952612|AFG3L2
AFG3L2|chr18:11953066-11953566:.|AFG3L2	0.000312	0.000399	0.000399	chr18	11953067	11953567	AFG3L2	False	-0.0295316029939294	12377026	chr18:11953066-11953566	0	-423709.0	423709.0	0.4015180816089731	0.4216785921485206	0.3295300715528911	0.020160510539547483	chr18:11953066-11953566|AFG3L2
AGAP1|chr2:236369193-236369693:.|AGAP1	0.059235	0.074865	0.123099	chr2	235460549	235461049	AGAP1	True	-0.0264140094342342	235493838	chr2:235459913-235462152	1	-33039.0	33039.0	0.9913943144459486	0.9849158770063817	0.9852059562947205	-0.0064784374395668864	chr2:235459913-235462152|AGAP1
AGFG1|chr2:228315630-228316416:.|AGFG1	0.090945	0.12141400000000001	0.20980100000000002	chr2	227450914	227451700	AGFG1	True	-0.0416716042460383	227471921	chr2:227450587-227452198	1	-20614.0	20614.0	0.9976793656932895	0.9927480177915297	0.9917810868304003	-0.004931347901759864	chr2:227450587-227452198|AGFG1
AGGF1|chr5:77177295-77177929:.|AGGF1	0.00041	0.000425	0.00043	chr5	77881471	77882105	AGGF1	False	0.00415644799588532	77030134	chr5:77881206-77881952	0	851654.0	851654.0	0.4159736994778573	0.4327499516534519	0.38425836395281376	0.01677625217559464	chr5:77881206-77881952|AGGF1
AGPAT1|chr6:31530799-31531546:.|AGPAT1	0.00022799999999999999	0.000266	0.000335	chr6	31563022	31563769	AGPAT1	False	0.0319723588963601	32175889	chr6:31562962-31563767	0	-612493.5	612493.5	0.3749274801779153	0.3577644556178689	0.27238445175014503	-0.01716302456004637	chr6:31562962-31563767|AGPAT1
AGPAT1|chr6:31788944-31790232:.|AGPAT1	0.002273	0.002554	0.0024460000000000003	chr6	31821167	31822455	AGPAT1	False	0.0248987525095576	32175889	chr6:31821201-31822734	0	-354078.0	354078.0	0.7422162057629085	0.7617965577257784	0.7572036356604138	0.01958035196286989	chr6:31821201-31822734|AGPAT1
AGPAT1|chr6:32099240-32099740:.|AGPAT1	0.003525	0.00435	0.004652	chr6	32131463	32131963	AGPAT1	False	-0.0185153381442463	32175889	chr6:32131481-32131981	0	-44176.0	44176.0	0.8339779539740863	0.8349448849352157	0.8231483272094372	0.0009669309611294308	chr6:32131481-32131981|AGPAT1
AGTRAP|chr1:11942619-11943611:.|AGTRAP	0.005629	0.005169	0.00398	chr1	11882562	11883554	AGTRAP	False	-0.0358374603924911	11735834	chr1:11882835-11883608	0	147224.0	147224.0	0.8151228002320634	0.8522529491394314	0.8782633919938116	0.03713014890736799	chr1:11882835-11883608|AGTRAP
AHCYL1|chr1:110336098-110337250:.|AHCYL1	0.002246	0.0013880000000000001	0.002062	chr1	109793476	109794628	AHCYL1	False	0.025517695716108995	109984514	chr1:109793434-109795353	0	-190462.0	190462.0	0.712047959775672	0.6596403016824599	0.7549796944498163	-0.05240765809321213	chr1:109793434-109795353|AHCYL1
AHCYL1|chr1:110431749-110432249:.|AHCYL1	0.0019190000000000001	0.002097	0.002131	chr1	109889127	109889627	AHCYL1	False	0.0021404533489211	109984514	chr1:109889162-109889662	0	-95137.0	95137.0	0.7187197834074647	0.730709727325469	0.7254883001353704	0.011989943918004342	chr1:109889162-109889662|AHCYL1
AHCYL1|chr1:110444257-110444757:.|AHCYL1	0.004594	0.002784	0.0029230000000000003	chr1	109901635	109902135	AHCYL1	False	0.0417987341896653	109984514	chr1:109901404-109902166	0	-82629.0	82629.0	0.769483658866757	0.7756236704699284	0.8564590988203442	0.006140011603171458	chr1:109901404-109902166|AHCYL1
AHCY|chr20:32276714-32277214:.|AHCY	0.000285	0.00047599999999999997	0.000567	chr20	33688908	33689408	AHCY	False	0.0182425399911377	34302756	chr20:33688843-33689343	0	-613598.0	613598.0	0.47070199187777995	0.4542158189905241	0.3120769677045059	-0.016486172887255846	chr20:33688843-33689343|AHCY
AHCY|chr20:32277777-32278277:.|AHCY	0.00049	0.000553	0.000661	chr20	33689971	33690471	AHCY	False	0.0451454841922254	34302756	chr20:33689976-33690476	0	-612535.0	612535.0	0.4993714948752659	0.48433571842970413	0.42424095919551347	-0.015035776445561755	chr20:33689976-33690476|AHCY
AIFM1|chrX:129728283-129728981:.|AIFM1	0.001034	0.0006389999999999999	0.000915	chrX	130594309	130595007	AIFM1	False	0.0193592535479552	130165637	chrX:130593840-130595380	0	429021.0	429021.0	0.5605298781666989	0.5155675884741829	0.600657513053568	-0.04496228969251592	chrX:130593840-130595380|AIFM1
AIMP2|chr7:5613793-5614944:.|AIMP2	0.002514	0.003963	0.005157	chr7	5574162	5575313	AIMP2	False	-0.00101251096549259	6009000	chr7:5574227-5574727,chr7:5574756-5575920	0	-434262.5	434262.5	0.8475149874298975	0.8218913169599691	0.7736898085476697	-0.025623670469928417	chr7:5574227-5574727,chr7:5574756-5575920|AIMP2
AK1|chr9:130624629-130625697:.|AK1	0.054038	0.084363	0.090602	chr9	127862350	127863418	AK1	True	-0.134010789530326	127877493	chr9:127862144-127863371	1	-14609.0	14609.0	0.9878166698897699	0.9879133629858828	0.982982015084123	9.669309611293198e-05	chr9:127862144-127863371|AK1
AK2|chr1:32913832-32915178:.|AK2	0.0009480000000000001	0.000778	0.000976	chr1	32448231	32449577	AK2	False	-0.0412190641312595	33036661	chr1:32447570-32449805	0	-587757.0	587757.0	0.5745503771030749	0.5523593115451557	0.5791916457164958	-0.022191065557919165	chr1:32447570-32449805|AK2
